1086,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PR,O,0,5,OT,P
1087,MM,10,MM,OC,PSB,0,0,0,0,0,0,0,0,0,1,0,1,2,1,BS,M,30,2,AD,WNC
1088,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LS,M,45,3,BA,NE
1089,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,O,0,5,OT,P
1090,MM,5,Y,DB,DB,0,0,1,0,0,1,0,0,1,1,0,1,1,0,CM,M,18,4,BA,ENC
1091,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,O,0,5,OT,P
1092,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,45,2,BA,SA
1093,SC,0,NA,NO,NO,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1094,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,45,4,BA,SA
1095,MM,25,Y,NO,NO,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1096,MM,25,MM,OC,PSB,0,0,0,0,0,0,0,0,0,1,0,2,2,1,SA,M,45,3,BA,WNC
1097,MM,5,M,PSE,SB,0,0,1,0,0,0,0,0,0,0,0,2,3,3,LF,M,18,4,GD,WSC
1098,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LS,M,45,2,BA,ENC
1099,DP,5,D,O,O,0,0,0,0,0,0,0,0,0,0,1,2,1,1,MA,F,18,5,BA,SA
1100,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PR,M,45,4,AD,SA
1101,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,45,3,GD,WNC
1102,DP,5,MM,OC,OC,1,0,0,0,0,1,0,0,0,0,0,3,1,0,OF,M,30,0,BA,PAC
1103,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,45,4,BA,WNC
1104,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,45,4,BA,MT
1105,MM,15,MM,SB,SB,0,0,0,0,0,0,0,0,0,1,0,4,4,4,HC,M,45,1,BA,MA
1106,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,18,3,GD,MA
1107,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,2,AD,SA
1108,SC,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,30,2,AD,WNC
1109,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,45,3,AD,WNC
1110,SC,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,45,2,GD,ENC
1111,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HS,M,30,4,GD,WNC
1112,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,5,GD,ENC
1113,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,30,4,BA,WSC
1114,SP,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,IS,M,45,2,AD,ENC
1115,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,18,2,BA,PAC
1116,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,O,0,5,OT,P
1117,MM,0,NA,NO,NO,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1118,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LS,M,45,4,BA,PAC
1119,MM,5,D,OC,PSB,1,1,0,0,0,0,0,0,0,0,1,4,4,4,OT,M,45,3,AD,MA
1120,DP,15,Y,OC,OC,1,0,0,0,0,0,0,0,0,0,0,1,1,2,OT,M,45,3,HS,SA
1121,MM,5,M,OC,OC,0,0,1,0,0,1,0,0,1,0,0,2,2,2,MA,M,18,2,BA,MT
1122,MM,15,W,SB,PSB,1,0,0,0,0,0,0,0,0,1,0,2,2,2,PR,M,30,2,AD,P
1123,MM,15,M,OC,PSB,0,0,0,1,0,1,0,0,1,0,0,2,1,2,CO,M,30,4,GD,MA
1124,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,3,GD,ENC
1125,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,O,0,5,OT,P
1126,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,45,4,GD,ENC
1127,SC,10,M,SB,SB,1,0,0,0,0,1,0,0,0,0,0,0,3,0,OT,M,18,2,BA,WSC
1128,MM,25,D,OC,PSB,1,0,0,0,0,0,0,0,0,1,0,2,3,3,IS,M,45,3,AD,NE
1129,SC,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,45,5,AD,MA
1130,MM,25,D,SB,SB,1,1,0,1,0,0,0,0,0,0,0,3,4,2,AE,M,45,2,AD,MA
1131,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,FF,O,0,5,OT,P
1132,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,18,1,AD,PAC
1133,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,5,BA,WSC
1134,MM,25,D,SB,SB,1,0,0,1,0,0,0,0,0,0,0,1,3,0,CC,M,45,2,BA,MT
